Apple Pascal 1.3 SYSTEM.COMPILER -- global data map

Global area: offsets 1..1357 (2714 bytes), from PARAM SIZE
plus DATA SIZE of the outermost block (lex level 0).
Both words count: a UCSD activation record holds the block's
parameters and its locals in one offset space starting at 1, and
DATA SIZE alone is short by the two parameter words (finding 46).
Distinct global offsets touched: 139
Words accounted for by inferred objects: 1361 of 1357
  (the excess is the record at offset 3, whose five words are
   counted again as the four fields addressed individually)

Offsets are WORD offsets into the shared global activation record.
'scalar' = address never taken, only whole-word load/store.
'aggregate' = address taken with LAO, so something bigger; the word
count is exact when MOV/LDM/STM pinned it, otherwise it is an upper
bound set by the next touched offset.

VERIFIED BINARY FACT for the access counts; the object sizes marked
'bounded by next touched offset' are STRONG INFERENCE.

  off kind        words    rd    wr    & users  sizing / evidence
   88 scalar-byref      1     4     3    1     7  address taken only to pass it | passed to CGP 12 x1
   89 scalar          1     5     5    0     6  word access only
   90 scalar-byref      1    10     0    1     4  address taken only to pass it | passed to CSP 1 NEW x1
   91 scalar          1     5     1    0     4  word access only
   92 scalar          1     2     2    0     3  word access only
   93 scalar          1    11     7    0     7  word access only
   94 scalar-byref      1     2     3    1     5  address taken only to pass it | passed to CSP 9 TIME x1
   95 scalar          1    15     3    0    10  word access only
   96 scalar          1     1     5    0     5  word access only
   97 scalar-byref      1     4     1    1     2  address taken only to pass it | passed to CSP 9 TIME x1
   98 scalar          1     9     5    0     7  word access only
   99 scalar-byref      1    11    13    1     9  address taken only to pass it | passed to CXP 1,12 x1
  100 scalar          1     6     6    0     8  word access only
  101 aggregate       4     0     0    7     3  sized by MOV/LDM/STM/compare | LDM 4 word(s) x6; STM 4 word(s) x1
  105 aggregate       4     0     0    9     9  sized by MOV/LDM/STM/compare | LDM 4 word(s) x8; STM 4 word(s) x1
  109 aggregate       4     0     0    5     2  sized by MOV/LDM/STM/compare | LDM 4 word(s) x4; STM 4 word(s) x1
  113 aggregate       4     0     0    6     2  sized by MOV/LDM/STM/compare | LDM 4 word(s) x5; STM 4 word(s) x1
  117 aggregate       4     0     0    7     5  sized by MOV/LDM/STM/compare | LDM 4 word(s) x6; STM 4 word(s) x1
  121 aggregate       4     0     0    4     2  sized by MOV/LDM/STM/compare | LDM 4 word(s) x4
  125 aggregate       4     0     0    6     3  sized by MOV/LDM/STM/compare | LDM 4 word(s) x6
  129 aggregate       4     0     0    5     2  sized by MOV/LDM/STM/compare | LDM 4 word(s) x4; STM 4 word(s) x1
  133 scalar          1     8     1    0     9  word access only
  134 aggregate      52     0     0   28    18  bounded by next touched offset | IXA element=4 word(s) x28
  186 aggregate       4     0     0   20     7  sized by MOV/LDM/STM/compare | LDM 4 word(s) x18; STM 4 word(s) x1; passed to CSP 2 MOVELEFT x1
  190 aggregate     255     0     0   10     5  bounded by next touched offset | IXA element=1 word(s) x8; IND 11 x1; passed to CSP 2 MOVELEFT x1
  445 aggregate     144     0     0   22    11  bounded by next touched offset | IXA element=9 word(s) x21; IND 9 x1
  589 aggregate      16     0     0   12     9  bounded by next touched offset | IXA element=9 word(s) x9; IND 9 x1
  605 scalar-byref      1     7     1    2     3  address taken only to pass it | passed to CSP 1 NEW x2
  606 aggregate      21     0     0    3     2  bounded by next touched offset | passed to CLP 3 x1; passed to OS.5 FOPEN x1
  627 scalar          1     4     3    0     4  word access only
  628 aggregate      37     0     0    2     2  bounded by next touched offset | SIND 2 x1; IXA element=1 word(s) x1
  665 aggregate      40     0     0    8     5  bounded by next touched offset | passed to OS.28 FBLOCKIO x3; passed to OS.6 FCLOSE x2; passed to OS.3 FINIT x1
  705 scalar          1    10     2    0     5  word access only
  706 scalar          1     5     3    0     3  word access only
  707 scalar-byref      1     6     0    1     5  address taken only to pass it | passed to CSP 1 NEW x1
  708 scalar          1     5     2    0     2  word access only
  709 scalar          1     1     1    0     2  word access only
  710 scalar          1     1     1    0     2  word access only
  711 scalar          1     1     1    0     2  word access only
  712 scalar          1     1     1    0     2  word access only
  713 scalar          1     1     1    0     2  word access only
  714 scalar          1     1     1    0     2  word access only
  715 scalar          1     1     3    0     2  word access only
  716 aggregate      40     0     0   10     5  bounded by next touched offset | passed to OS.6 FCLOSE x4; passed to OS.28 FBLOCKIO x3; passed to OS.5 FOPEN x2
  756 aggregate      40     0     0    5     3  bounded by next touched offset | passed to OS.6 FCLOSE x2; passed to OS.3 FINIT x1; passed to OS.28 FBLOCKIO x1
  796 aggregate     169     0     0   20     6  bounded by next touched offset | passed to OS.13 FWRITEINT x5; passed to OS.17 FWRITECHAR x4; passed to OS.6 FCLOSE x3
  965 aggregate      51     0     0    1     1  bounded by next touched offset | passed to OS.3 FINIT x1
 1016 aggregate      40     0     0    1     1  bounded by next touched offset | passed to OS.3 FINIT x1
 1056 aggregate      40     0     0    1     1  bounded by next touched offset | passed to OS.3 FINIT x1
 1096 scalar-byref      1     0     0    1     1  address taken only to pass it | passed to OS.3 FINIT x1
 1097 scalar          1     6     3    0     6  word access only
 1098 scalar          1     4     6    0     5  word access only
 1099 aggregate     256     0     0    6     2  bounded by next touched offset | passed to OS.28 FBLOCKIO x3; STB (byte) x2; passed to CSP 2 MOVELEFT x1
 1355 scalar          1     1     1    0     2  word access only
 1356 scalar          1     2     2    0     3  word access only
 1357 scalar          1     2     3    0     2  word access only

File variables, from FINIT(f, window, recwords) call sites:

  The window is always +300: BODY emits `LDA 0,VADDR` then
  `LDA 0,VADDR+FILESIZE`, and compglbls.text has FILESIZE = 300
  (NILFILESIZE = 40). It emits that for every file variable,
  typed or not -- so only a TEXT or FILE OF T is really 300+
  words and actually has a window there. The other three
  addresses below are not objects at all; they land inside LP.
  Finding 43.

  FIB at word  796, window buffer at word 1096 (+300), recwords=-2  [text file]   (PASCALCO.1)
  FIB at word  716, window buffer at word 1016 (+300), recwords=-1  [text file]   (PASCALCO.1)
  FIB at word  756, window buffer at word 1056 (+300), recwords=-1  [text file]   (PASCALCO.1)
  FIB at word  665, window buffer at word  965 (+300), recwords=-1  [text file]   (PASCALCO.1)

Busiest globals (by total accesses):

  word    3  record     rd=216  wr=62   &=10  used by 32 procedures
        BODYPART.10, BODYPART.11, BODYPART.15, BODYPART.17, BODYPART.22, BODYPART.29, BODYPART.30, BODYPART.31, BODYPART.32, BODYPART.33, BODYPART.34, BODYPART.35 ...
  word   15  scalar     rd=260  wr=24   &=0   used by 61 procedures
        BODY3.1, BODYPART.11, BODYPART.12, BODYPART.22, BODYPART.23, BODYPART.25, BODYPART.29, BODYPART.30, BODYPART.31, BODYPART.34, BODYPART.35, BODYPART.36 ...
  word   14  scalar-byref rd=118  wr=48   &=1   used by 14 procedures
        COMPOPTI.1, COMPOPTI.3, COMPOPTI.4, DECLARAT.12, FINISHUP.1, NUMSTRIN.2, NUMSTRIN.3, PASCALCO.14, PASCALCO.28, PASCALCO.4, PASCALCO.5, PASCALCO.6 ...
  word    9  scalar     rd=72   wr=40   &=0   used by 25 procedures
        BODY1.1, BODY3.1, BODY3.2, BODYPART.16, BODYPART.19, BODYPART.3, BODYPART.31, BODYPART.36, BODYPART.5, CASESTAT.1, COMPINIT.1, FINISHUP.1 ...
  word   13  scalar     rd=49   wr=26   &=0   used by 15 procedures
        BODY3.1, BODYPART.31, COMPINIT.1, COMPINIT.9, DECLARAT.11, DECLARAT.12, DECLARAT.19, FINISHUP.1, PASCALCO.13, PASCALCO.25, PASCALCO.26, PASCALCO.6 ...
  word    1  scalar-byref rd=69   wr=0    &=1   used by 14 procedures
        COMPINIT.9, COMPOPTI.1, COMPOPTI.3, COMPOPTI.4, FINISHUP.1, NUMSTRIN.2, NUMSTRIN.3, PASCALCO.14, PASCALCO.28, PASCALCO.4, PASCALCO.5, PASCALCO.6 ...
  word   10  scalar     rd=43   wr=25   &=0   used by 17 procedures
        BODY1.1, COMPINIT.1, COMPINIT.9, DECLARAT.11, DECLARAT.18, DECLARAT.19, DECLARAT.20, FORSTATE.1, PASCALCO.14, PASCALCO.26, ROUTINE.10, ROUTINE.9 ...
  word   12  scalar-byref rd=60   wr=0    &=1   used by 24 procedures
        BODYPART.29, BODYPART.30, BODYPART.31, BODYPART.32, BODYPART.33, BODYPART.34, BODYPART.35, BODYPART.36, BODYPART.37, COMPINIT.2, COMPINIT.3, COMPINIT.8 ...
  word   11  scalar     rd=36   wr=19   &=0   used by 17 procedures
        BODYPART.25, BODYPART.29, BODYPART.30, BODYPART.36, CASESTAT.1, DECLARAT.10, DECLARAT.15, DECLARAT.18, DECLARAT.20, DECLARAT.3, DECLARAT.6, DECLARAT.8 ...
  word    8  scalar     rd=38   wr=13   &=0   used by 18 procedures
        BODY1.1, BODY3.1, BODYPART.25, COMPINIT.1, DECLARAT.1, DECLARAT.15, DECLARAT.18, DECLARAT.19, DECLARAT.3, DECLARAT.4, PASCALCO.10, PASCALCO.26 ...
  word    5  aggregate  rd=22   wr=23   &=5   used by 12 procedures
        BODYPART.10, BODYPART.22, BODYPART.29, BODYPART.3, BODYPART.31, BODYPART.36, BODYPART.5, BODYPART.8, BODYPART.9, ROUTINE.4, STATEMEN.2, STATEMEN.8
  word   33  scalar     rd=41   wr=3    &=0   used by 25 procedures
        BODY1.1, BODY3.1, BODYPART.22, BODYPART.25, BODYPART.31, BODYPART.5, COMPINIT.9, COMPOPTI.1, COMPOPTI.5, DECLARAT.1, DECLARAT.10, DECLARAT.12 ...
  word   64  scalar-byref rd=42   wr=0    &=1   used by 22 procedures
        BODYPART.11, BODYPART.29, BODYPART.30, BODYPART.31, BODYPART.32, BODYPART.34, BODYPART.35, BODYPART.36, BODYPART.8, CASESTAT.1, COMPINIT.2, COMPINIT.3 ...
  word   80  scalar     rd=33   wr=8    &=0   used by 20 procedures
        BODY1.1, BODY3.1, BODYPART.22, BODYPART.31, BODYPART.6, COMPINIT.1, COMPOPTI.1, DECLARAT.1, DECLARAT.10, DECLARAT.18, DECLARAT.19, DECLARAT.20 ...
  word    2  scalar-byref rd=32   wr=1    &=3   used by 12 procedures
        BODYPART.16, BODYPART.19, BODYPART.21, COMPINIT.9, DECLARAT.1, FINISHUP.1, PASCALCO.22, PASCALCO.23, PASCALCO.24, PASCALCO.5, UNITPART.1, WRITELIN.4
  word    4  scalar     rd=19   wr=17   &=0   used by 9 procedures
        BODYPART.10, BODYPART.11, BODYPART.22, BODYPART.31, BODYPART.36, BODYPART.8, BODYPART.9, ROUTINE.4, STATEMEN.2
  word   84  scalar-byref rd=25   wr=3    &=4   used by 6 procedures
        COMPINIT.1, DECLARAT.19, PASCALCO.26, UNITPART.1, UNITPART.3, UNITPART.4
  word   62  scalar-byref rd=30   wr=0    &=1   used by 18 procedures
        BODYPART.11, BODYPART.22, BODYPART.25, BODYPART.29, BODYPART.30, BODYPART.31, BODYPART.36, COMPINIT.2, COMPINIT.3, COMPINIT.8, PASCALCO.11, PASCALCO.17 ...
  word   16  scalar     rd=12   wr=16   &=0   used by 10 procedures
        BODYPART.11, BODYPART.34, BODYPART.35, DECLARAT.16, DECLARAT.17, NUMSTRIN.2, NUMSTRIN.3, PASCALCO.20, PASCALCO.8, ROUTINE.14
  word   17  aggregate  rd=0    wr=0    &=28  used by 16 procedures
        COMPINIT.1, DECLARAT.10, DECLARAT.11, DECLARAT.16, DECLARAT.17, DECLARAT.18, DECLARAT.19, DECLARAT.20, DECLARAT.4, DECLARAT.6, DECLARAT.8, DECLARAT.9 ...
  word   23  aggregate  rd=12   wr=8    &=8   used by 9 procedures
        BODYPART.36, COMPOPTI.4, DECLARAT.15, NUMSTRIN.2, NUMSTRIN.3, PASCALCO.20, PASCALCO.8, STATEMEN.1, STATEMEN.3
  word  134  aggregate  rd=0    wr=0    &=28  used by 18 procedures
        BODY1.1, BODY3.1, BODYPART.22, BODYPART.25, COMPINIT.1, DECLARAT.15, DECLARAT.18, DECLARAT.19, DECLARAT.3, DECLARAT.4, PASCALCO.10, PASCALCO.26 ...
  word   99  scalar-byref rd=11   wr=13   &=1   used by 9 procedures
        BODYPART.13, COMPINIT.9, DECLARAT.11, DECLARAT.12, DECLARAT.19, PASCALCO.25, PASCALCO.26, UNITPART.1, UNITPART.3
  word  445  aggregate  rd=0    wr=0    &=22  used by 11 procedures
        BODY3.1, COMPINIT.1, COMPINIT.9, DECLARAT.12, DECLARAT.19, FINISHUP.1, PASCALCO.15, PASCALCO.25, PASCALCO.26, UNITPART.1, UNITPART.3
  word    6  scalar     rd=10   wr=10   &=0   used by 6 procedures
        BODYPART.10, BODYPART.22, BODYPART.31, BODYPART.8, BODYPART.9, STATEMEN.8

Globals whose address is passed to a named runtime routine:

  word   17 -> OS.20 FWRITEBYTES   (DECLARAT.11@$0F8D)
  word  606 -> OS.5 FOPEN   (COMPOPTI.1@$03D0)
  word  665 -> OS.3 FINIT   (PASCALCO.1@$11AB)
  word  665 -> OS.6 FCLOSE   (PASCALCO.1@$11DE)
  word  665 -> OS.28 FBLOCKIO   (BODYPART.2@$019F)
  word  665 -> OS.4 FRESET   (UNITPART.1@$03CA)
  word  665 -> OS.5 FOPEN   (UNITPART.2@$0000)
  word  716 -> OS.3 FINIT   (PASCALCO.1@$1191)
  word  716 -> OS.6 FCLOSE   (PASCALCO.1@$11D0)
  word  716 -> OS.28 FBLOCKIO   (PASCALCO.5@$01D0)
  word  716 -> OS.5 FOPEN   (DECLARAT.12@$0E5B)
  word  756 -> OS.3 FINIT   (PASCALCO.1@$119E)
  word  756 -> OS.6 FCLOSE   (PASCALCO.1@$11D7)
  word  756 -> OS.28 FBLOCKIO   (PASCALCO.5@$0203)
  word  756 -> OS.5 FOPEN   (COMPOPTI.1@$0243)
  word  796 -> OS.3 FINIT   (PASCALCO.1@$1184)
  word  796 -> OS.6 FCLOSE   (PASCALCO.1@$11C9)
  word  796 -> OS.13 FWRITEINT   (PASCALCO.6@$0295)
  word  796 -> OS.17 FWRITECHAR   (PASCALCO.6@$02B5)
  word  796 -> OS.20 FWRITEBYTES   (PASCALCO.6@$0329)
  word  796 -> OS.19 FWRITESTRING   (PASCALCO.6@$0344)
  word  796 -> OS.22 FWRITELN   (PASCALCO.6@$036B)
  word  796 -> OS.5 FOPEN   (COMPINIT.1@$0CE3)
  word  965 -> OS.3 FINIT   (PASCALCO.1@$11AE)
  word 1016 -> OS.3 FINIT   (PASCALCO.1@$1194)
  word 1056 -> OS.3 FINIT   (PASCALCO.1@$11A1)
  word 1096 -> OS.3 FINIT   (PASCALCO.1@$1187)
  word 1099 -> OS.28 FBLOCKIO   (PASCALCO.24@$0DCA)
